sample,taxon,genome
TDM055,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM055_candidatus_nitrosotenuis.fa
TDM036,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM036_candidatus_nitrosotenuis.fa
TDM003,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM003_candidatus_nitrosotenuis.fa
TDM037,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM037_candidatus_nitrosotenuis.fa
TDM027,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM027_candidatus_nitrosotenuis.fa
TDM013,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM013_candidatus_nitrosotenuis.fa
TDM053,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM053_candidatus_nitrosotenuis.fa
TDM052,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM052_candidatus_nitrosotenuis.fa
TDM060,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM060_candidatus_nitrosotenuis.fa
TDM049,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM049_candidatus_nitrosotenuis.fa
TDM005,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM005_candidatus_nitrosotenuis.fa
TDM014,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM014_candidatus_nitrosotenuis.fa
TDM023,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM023_candidatus_nitrosotenuis.fa
TDM015,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM015_candidatus_nitrosotenuis.fa
TDM054,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM054_candidatus_nitrosotenuis.fa
TDM024,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM024_candidatus_nitrosotenuis.fa
TDM007,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM007_candidatus_nitrosotenuis.fa
TDM034,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM034_candidatus_nitrosotenuis.fa
TDM016,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM016_candidatus_nitrosotenuis.fa
TDM012,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM012_candidatus_nitrosotenuis.fa
TDM022,candidatus_nitrosotenuis,/home/lucia_winkler/speleothem/damage_inference_core/fasta/TDM022_candidatus_nitrosotenuis.fa
